text,label,participant_id
 Alright. ,ack,1
Ah {personName}. ,sno,1
Oh,ack,1
 Yes.,y,1
 Yes.,y,1
 If you gotta work fast when you shipping Mail.,sno,1
 No.,n,1
OK.,ack,1
 Coding.,sno,1
 Art and science.,sno,1
 Well  they weren't really as good.,sno,1
 I participated in the marching band an in ROTC.,sno,1
 Well  I want to.,sno,1
 A little bit good.,sno,1
 My name is Mr Warlock an eye. My super powers are. Super powers. Remote. Fight things with my mind. My arch nemesis. Arch nemesis are. The people who would be the people.,sno,1
 No matter how stubborn.,n-d,1
 I draw I play music.,sno,1
 Mistake. I would.,sno,1
 Well. Kind of dealt with a lot of team members and sometimes some have lost  lost my temper and said things probably should've said.,sno,1
 I don't really. I don't really know  but I'm pretty sure I handle it like a man.,dno,1
 In a way where.,sno,1
 No  but I love to get one.,n-d,1
 How do you do this?,query,2
 Is that's going  my name is {personName}. ,sno,2
My name is {personName}. ,sno,2
I'm here for the job interview.,sno,2
 Nice to meet you too. ,fp,2
Yes  ma'am.,y,2
 Yes  ma'am I do.,y,2
 Yes  ma'am I do. ,y,2
No ma'am  I don't. ,n,2
I mean  no ma'am  I don't.,so,2
 Yes ma'am.,y,2
 I used a Microsoft.,sno,2
 Maybe like at 8 or 9?,sno,2
 For about a few years.,sno,2
 Microsoft with numbers and words both.,sno,2
 Very proficient.,sno,2
 Ma'am a couple of years.,sno,2
 A couple hours.,sno,2
 Like 2 hours ma'am.,sno,2
 Yes  ma'am I will.,y,2
 Oh,ack,2
 I enjoyed math. Math is my best subject  ma'am.,sno,2
 Because numbers just are better for me and I in reading. It's just not my best subject.,sno,2
 I got like a zombies.,sno,2
 Yes  an I did beta club interact Club and Anchor Club and now I'm in college and I'm in an owners club called Died Theta Kappa.,y-d,2
 To be honest  math.,sno,2
 Well  I think I should be able to read more. I should be able to. Learn about more computer work. To be honest  do work on getting better at it.,so,2
 I feel like I'm doing good.,so,2
 My superpower is doing makeup and hair.,sno,2
 Well  I need to they ask. The best advice is to learn how to cut hair. You do it with your right hand to your left hand. Yeah  and you do the scissors with your right hand and the comb with your left hand.,sno,2
 Because. One second. Because it just helps me out with lots of things.,sno,2
 What planet to be a cosmotologist in an esthetician?,query,2
 Yes.,y,2
 Well  I work with someone I didn't like.,sno,2
 I would just learn. To deal with it  try to make peace with the person and this I know you have to work with people you don't like  so you're going to have to learn to deal with it.,sno,2
 Well  I tried to be nice to them. And they tried being nice to me when I've been nice to them.,sno,2
 Well  I just tried to get the haircut that they wanted. So so it manage.,sno,2
 It was really tough.,sno,2
 Yes  ma'am I do.,y,2
 Well. ,sno,2
 What will I be doing if I'm hired?  Well  we'll be doing when I'm hired. What will what?  What can I do to make it more successful? ,query,2
 No  ma'am.  ,n,2
Thank you very much. ,ft,2
 Is it asking me like {personName}?,query,3
Do I say it again or?,query,3
 Did it not pick up? ,query,3
My name is {personName}.,sno,3
 Just hit the spacebar.,sno,3
 I worked as a someone who used to work in maintenance back in 2016 and prior to that I was a childcare assistant for New Hope Academy.,sno,3
