 Alright. ,ack
Ah {personName}. ,sno
Oh,ack
 Yes.,y
 Yes.,y
 If you gotta work fast when you shipping Mail.,sno
 No.,n
OK.,ack
 Coding.,sno
 Art and science.,sno
 Well  they weren't really as good.,sno
 I participated in the marching band an in ROTC.,sno
 Well  I want to.,sno
 A little bit good.,sno
 My name is Mr Warlock an eye. My super powers are. Super powers. Remote. Fight things with my mind. My arch nemesis. Arch nemesis are. The people who would be the people.,sno
 No matter how stubborn.,n-d
 I draw I play music.,sno
 Mistake. I would.,sno
 Well. Kind of dealt with a lot of team members and sometimes some have lost  lost my temper and said things probably should've said.,sno
 I don't really. I don't really know  but I'm pretty sure I handle it like a man.,dno
 In a way where.,sno
 No  but I love to get one.,n-d
 How do you do this?,query
 Is that's going  my name is {personName}. ,sno
My name is {personName}. ,sno
I'm here for the job interview.,sno
 Nice to meet you too. ,fp
Yes  ma'am.,y
 Yes  ma'am I do.,y
 Yes  ma'am I do. ,y
No ma'am  I don't. ,n
I mean  no ma'am  I don't.,so
 Yes ma'am.,y
 I used a Microsoft.,sno
 Maybe like at 8 or 9?,sno
 For about a few years.,sno
 Microsoft with numbers and words both.,sno
 Very proficient.,sno
 Ma'am a couple of years.,sno
 A couple hours.,sno
 Like 2 hours ma'am.,sno
 Yes  ma'am I will.,y
 Oh,ack
 I enjoyed math. Math is my best subject  ma'am.,sno
 Because numbers just are better for me and I in reading. It's just not my best subject.,sno
 I got like a zombies.,sno
 Yes  an I did beta club interact Club and Anchor Club and now I'm in college and I'm in an owners club called Died Theta Kappa.,y-d
 To be honest  math.,sno
 Well  I think I should be able to read more. I should be able to. Learn about more computer work. To be honest  do work on getting better at it.,so
 I feel like I'm doing good.,so
 My superpower is doing makeup and hair.,sno
 Well  I need to they ask. The best advice is to learn how to cut hair. You do it with your right hand to your left hand. Yeah  and you do the scissors with your right hand and the comb with your left hand.,sno
 Because. One second. Because it just helps me out with lots of things.,sno
 What planet to be a cosmotologist in an esthetician?,query
 Yes.,y
 Well  I work with someone I didn't like.,sno
 I would just learn. To deal with it  try to make peace with the person and this I know you have to work with people you don't like  so you're going to have to learn to deal with it.,sno
 Well  I tried to be nice to them. And they tried being nice to me when I've been nice to them.,sno
 Well  I just tried to get the haircut that they wanted. So so it manage.,sno
 It was really tough.,sno
 Yes  ma'am I do.,y
 Well. ,sno
 What will I be doing if I'm hired?  Well  we'll be doing when I'm hired. What will what?  What can I do to make it more successful? ,query
 No  ma'am.  ,n
Thank you very much. ,ft
 Is it asking me like {personName}?,query
Do I say it again or?,query
 Did it not pick up? ,query
My name is {personName}.,sno
 Just hit the spacebar.,sno
 I worked as a someone who used to work in maintenance back in 2016 and prior to that I was a childcare assistant for New Hope Academy.,sno
 Essentially  I would help clean bathrooms and trash cans and essentially. Move things around that needed to be moved around. Circulate items such as toilet paper and. Soap and whatnot and for the childcare assistant I would help children after daycare for my school.,sno
 I've had some experience with Dragon  which is essentially a. Voice to text conversion software that allows people to talk into the microphone and puts the processes the words essentially. I've had some good. Some good experience with it and I think I could be very helpful to the organization.,sno
 I would say that my skills are pretty basic. For the most part  but I think they are pretty exceptional. Not exactly advanced per se  but. Um? I could still learn from a bit more.,so
 I've been using word processing software for approximately maybe six years now. I'd say. About six years.,sno
 I haven't exactly used much Apple software when it comes to typing. I've only really been using Windows and word. But that's basically it.,sno
 I'm I've been using word for probably about 12 years now. I used to work on the computer a lot when I was a child and. The word processing unit has shown great capability towards work environment.,sno
Uh.,ack
Define spreadsheet.,sno
 If I had to answer that  it would probably be around maybe three or four years since I started college.,sno
 I suppose working with spreadsheets for about 15 hours would. Benefit my schedule.,y
 I helped. Other people in college with an assignment and essentially. I think I did a pretty good job. It was a team bonding thing. And. I'd say that I did a pretty good job at it. Not  I don't mean to gosh  but.,sno
 Most enjoyed it in school. Well  that's a difficult question because there's a lot of areas in school that I find interesting. History was one of my big ones. I'd also have to say that literature and grammar was important to me. Spelling and whatnot reading. Um? I was not very good at math. Math is one of my unfortunate flaws. I'm not very good at math. But everything else I seem to be pretty much OK with.,sno
 Um? ,ack
 Yeah  I again  I'm not very good at math. ,y-d
But I don't know.,dno
I guess there are some interesting things about it that help me to understand.,dno
More about life situations  I suppose,dno
 In most of my classes  surprisingly  I got A's and B's all but in the math section in the math section I had. Uh. These at the most. I was never really good at it  but I got through somehow.,sno
 I was in homec for awhile and it was pretty interesting. Um? Some other classes may include taking German. I took German for a little while. It didn't really last long  but. It helped some. I do know some.,sno
 I'd say my greatest personal attribute would be helpfulness and maybe kindness. I always try to be as kind as I can to other people to help them get what they need. But I'm also persistent in trying to pursue. Um? What it is that I want out of a job? And I can tell this would be a great thing to put my strengths towards.,sno
 Well. For one thing  my people skills sometimes aren't as great as I'd like them to be  and I think that maybe through this I could experience. Um? More. Openness about my condition and maybe perhaps find. I don't know  just something. Just hopefully this. Job if I do get it will be. Beneficial towards my situation.,so
 I'd say. I'm doing. Alright  so far in this interview. I. Probably could be better. But I think that I've done a pretty good job so far.,so
 Um? Let's see. Definitely not Superman  that one's taken. Um? That's a good question  actually. I don't know what my name would be as a superhero. Uh. For superpower though  I'd guess maybe time travel. That would be a pretty cool power to have. Go back in time and fix things before they happen. Um? And my arch nemesis is. Algebra man.,sno
 Best advice from a mentor that I've ever received. That's also really. Really big question. Um? 46 times stand up when it fall 7 times stand up. Eight was probably one of the best. Words of advice that I've received before.,sno
