text,label
oops.,fe
oops.,fe
"if i can, oh my goodness.",fe
oh gosh.,fe
whoops,fe
oh gosh.,fe
"oh my gosh, the r is really moving now, ok?",fe
oh shoot.,fe
 oh boy.,fe
"oh man, it's like going through it.",fe
damn it.,fe
stupid.,fe
oh dang it.,fe
oh shoot.,fe
hard is gonna ****.,fe
oh man.,fe
god.,fe
oh my.,fe
oh wow.,fe
"wow, that's weird.",fe
"wow, it's like pulling me.",fe
"wow, this is trippy. ",fe
oh man.,fe
dang it.,fe
down dang it.,fe
****.,fe
 dang it.,fe
dang it got it.,fe
dang it.,fe
dang it dang it.,fe
shut up.,fe
dang it.,fe
"god, my heart is going through the roof.",fe
******.,fe
geez louise,fe
"crap, knocked it over again, but that's ok.",fe
oh ****.,fe
"god, i don't know where this supposed to go.",fe
"oh no, no, it's supposed to be a cable.",fe
oh god.,fe
**** you too.,fe
****.,fe
oh boy jobs.,fe
whoops,fe
***.,fe
**** lick,fe
****.,fe
"oh man, there's a timer.",fe
"oh, whoops.",fe
whoops,fe
oh no.,fe
"oh my goodness, it's not in english.",fe
oops.,fe
wow.,fe
oh my god.,fe
oh cats.,fe
oh damn.,fe
oh gosh.,fe
wow.,fe
oh no.,fe
oh no.,fe
well my god.,fe
my gosh.,fe
"sheesh, ok.",fe
oops.,fe
oh lord.,fe
oop.,fe
 oh boy.,fe
oh boy.,fe
"oh boy, ok.",fe
