text,label
we 've worked on and research projects before about specific people in the past,9
let me finish well i like outdoor cover movie for once and i guess i learned a lot of team building 'cause they required a lot of spreadsheet uses of what people are going to do work for the script yeah yeah,9
oh boy,3
believe the unexpected,9
because i liked working with computers,10
hi { personname },4
alright i 'll call it but no,0
no i do not have a drivers license that we really do wish that did,7
sorry about that,2
oh shoot,3
thank you for noticing,5
yes,4
what will i be doing if i 'm hired ? well we 'll be doing when i 'm hired what will what ? what can i do to make it more successful ?,8
hi { personname },4
i guess i have used microsoft xls well as the google program think that indeed we will sheets the other ones i have n't not as much as i have with word processors but i had that experience,9
hello there,4
just hit the spacebar,9
yes ma'am i have participated in board game clubs and school plays,12
no i did n't i did n't really participate types of experiences,7
yes ma'am,11
hi { personname },4
ok,0
i suppose working with spreadsheets for about 15 hours would benefit my schedule,11
i have some prior work experience i 've done internships that helped me prepare for this work experience and i think they 've been good and beneficial but that 's about the extent of my work experience so far,9
well thank you,5
i do n't think so,9
yeah i have a lot of experience with the word like the word things like you know powerpoint excel spreadsheets and yeah,12
did it not pick up ?,8
you know i 'm sorry,2
data entry,9
hi,4
i can not,6
very proficient,9
an element,9
yes i 've used microsoft word and microsoft powerpoint,11
do n't make it on time well the time i had to make a difficult decision was when i had to this one had to decide 9. well major it was when i choose between being at school or not going to school,9
yes,11
i 've been using word processing software for approximately maybe six years now i 'd say about six years,9
yes an i did beta club interact club and anchor club and now i 'm in college and i 'm in an owners club called died theta kappa,12
thank you,5
relaxing,9
probably at school because i want to teach always tries to make me do like projects other people rather be alone 'cause 'cause i ca n't rely on anyone so what i do i just i just suck it up,9
my focus,9
i ca n't remember if i have,1
well thanks a lot,5
um ?,0
what do you mean ?,8
i just like learning about the past and stuff,9
i volunteered for my band 4:00 am no i volunteered for my band to do a food service,9
i could definitely do better in some parts,9
oh damn,3
about five years now,9
yeah i work at a. and like culinary,12
or one time ? in when i was at cracker barrel as a dishwasher i had to decide otherwise i would stand up to one of my coworkers who was n't being very respectable of me so that was difficult,9
yes i used word document xl powerpoint yes i 've used word excel and powerpoint,12
to be more focused on my task instead of doing something else i talk into my friends and stuff like that,9
feed button corner be back in court christmas,9
history,9
hi { personname },4
i have used all of them,9
oh well thanks,5
my name is { personname },9
sorry i roped on volvos then,2
thank you,5
yes,4
yes it was successful because we not only got the project done but we did a good job presenting an one of the reasons was because we worked hard is another reason is because everyone had different ideas,12
to be honest math,9
{ personname } in plano texas how are you doing today ?,4
probably make you think of 1 right now,9
i 'm sorry to keep you waiting,2
i worked on an engineering design project where i helped design a wind turbine with a group of other students and i learn leadership skills by helping organize our meetings and helping encourage them to work hard and i also learn technical skills because i help do the transmission for the wind turbine,9
art and science,9
i 'm sorry for these beeps,2
money change question mark money change anne repeat that,9
geez { personname },3
i used to work at a grocery store at publix down the shore pike for about four years,9
you might repeat that again please,8
mypillow mentor in told me that no matter what you should n't worry about success or failure you should just try hard to do the best you can,9
i 've been using microsoft word for around 10 years,9
yes ma'am i do,11
usually when it comes to my mom getting a new car i was able to handle it by writing it for a bit,9
because one second because it just helps me out with lots of things,9
maybe in the morning ?,1
so hello { personname },4
i 've used microsoft word,9
no,6
night yeah ?,11
one time there was a rude customer at a supermarket i helped her and then she was nice,9
no ma'am i do n't,6
but for the powers hydrokinesis is superstrength and shadow clones,9
coding,9
on the psychology game quiz i worked with multiple people,9
bees and aids and days i got bees and aa,9
i am sorry,2
my gosh,3
um ?,0
sorry,2
{ personname },9
